id,nombre,creador_organizacion,descripcion_resumida,categorias_originales,categorias_normalizadas,tipo_de_tarea,autonomia,publico_objetivo,riesgo,Utilidad,Confiabilidad,Claridad,UX,Mantenimiento,Transparencia,Seguridad,score_total,senales_de_popularidad,ultima_actividad_en_archivo,modelos_observados,evidencia_en_archivo,alertas,system_role_messages_n,system_role_messages_nonempty_n,system_prompts_n_unicos,system_prompt_principal,system_prompt_principal_count,system_prompt_evidencia,system_prompt_nota
NO_GIZMO_ID,No disponible en archivo,No disponible en archivo,Evidencia de uso: New chat | Análisis de conversación | Análisis conversación psicológica | Análisis de GPTs creados | Reescribir respuesta asertiva...,Ausente,"investigación, marketing, diseño","análisis, escritura, planificación",copiloto,profesionales,bajo,5,4.2,4.2,3.6,4.97,4.4,4.6,4.477,1396,2025-12-31T21:06:48.425471+00:00,gpt-4o; gpt-5-thinking; gpt-5; o3; o1; gpt-5-1-thinking; research; gpt-5-2-thinking; gpt-4-5; gpt-5-1; gpt-5-2; auto; o4-mini-high; gpt-4-1; agent-mode; o4-mini; gpt-4o-mini; gpt-4,conversations.json: gizmo_id=NO_GIZMO_ID; títulos=New chat | Análisis de conversación | Análisis conversación psicológica | Análisis de GPTs creados | Reescribir respuesta asertiva; modelo=gpt-4o; gpt-5-thinking; gpt-5; o3; o1; gpt-5-1-thinking; research; gpt-5-2-thinking; gpt-4-5; gpt-5-1; gpt-5-2; auto; o4-mini-high; gpt-4-1; agent-mode; o4-mini; gpt-4o-mini; gpt-4,Títulos genéricos: clasificación basada en keywords puede ser ruidosa,4939,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-68d5700b32948191b41800cd30d08603,No disponible en archivo,No disponible en archivo,Evidencia de uso: New chat | Mejorar prompt workflow | Estrategias contrato inmobiliario | Optimize SEO prompt | SEO article selection...,Ausente,"marketing, investigación, negocios","análisis, planificación, escritura",copiloto,profesionales,bajo,3.48,3.2,3.8,3.6,4.9,3.4,3.4,3.61,115,2025-12-27T22:01:45.585783+00:00,gpt-5-thinking; gpt-5; gpt-5-1-thinking; gpt-5-2-thinking; gpt-5-1; research,conversations.json: gizmo_id=g-68d5700b32948191b41800cd30d08603; títulos=New chat | Mejorar prompt workflow | Estrategias contrato inmobiliario | Optimize SEO prompt | SEO article selection; modelo=gpt-5-thinking; gpt-5; gpt-5-1-thinking; gpt-5-2-thinking; gpt-5-1; research,Títulos genéricos: clasificación basada en keywords puede ser ruidosa,402,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-692f252a808c8191a16b6038bf68cc5d,No disponible en archivo,No disponible en archivo,Evidencia de uso: Análisis y comparación GPTs | Replantear estrategia inmobiliaria | Integrar modos argumentativos | Análisis y comparación narrativa | Propuesta días oficina...,Ausente,"investigación, marketing, negocios","análisis, escritura, planificación",copiloto,profesionales,bajo,3.14,4.2,4.2,3.6,4.97,4.4,4.6,4.013,66,2025-12-31T16:51:49.471611+00:00,gpt-5-1-thinking; gpt-5-2-thinking; gpt-5-1,conversations.json: gizmo_id=g-692f252a808c8191a16b6038bf68cc5d; títulos=Análisis y comparación GPTs | Replantear estrategia inmobiliaria | Integrar modos argumentativos | Análisis y comparación narrativa | Propuesta días oficina; modelo=gpt-5-1-thinking; gpt-5-2-thinking; gpt-5-1,,267,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-68f87fc025d48191b35e8da278582669,No disponible en archivo,No disponible en archivo,Evidencia de uso: Instrucciones de uso | Revisión de texto | Mejora copy Instagram | Diseño plantilla finanzas | Guía de voz Finanz Butik...,Ausente,"investigación, marketing, diseño","análisis, escritura, generación",asistente,profesionales,bajo,2.97,3.6,3.4,3.2,4.7,2.2,4,3.382,49,2025-12-15T09:51:21.346451+00:00,gpt-5; gpt-5-thinking; gpt-5-2-thinking; gpt-4o; gpt-5-1-thinking,conversations.json: gizmo_id=g-68f87fc025d48191b35e8da278582669; títulos=Instrucciones de uso | Revisión de texto | Mejora copy Instagram | Diseño plantilla finanzas | Guía de voz Finanz Butik; modelo=gpt-5; gpt-5-thinking; gpt-5-2-thinking; gpt-4o; gpt-5-1-thinking,,231,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-691685b0985c8191ae51fc5916f0715c,No disponible en archivo,No disponible en archivo,Evidencia de uso: Comparación de textos | Mejorar in copy out copy | Nombres de Dios en hebreo | Reescribir mensaje informal | Análisis y comparación estrategia...,Ausente,"investigación, marketing, negocios","análisis, escritura, planificación",copiloto,profesionales,bajo,2.87,2.6,3,3.2,4.7,1.2,2.8,2.878,42,2025-12-15T23:03:35.948502+00:00,gpt-5-1-thinking; gpt-5-2-thinking; gpt-5-1,conversations.json: gizmo_id=g-691685b0985c8191ae51fc5916f0715c; títulos=Comparación de textos | Mejorar in copy out copy | Nombres de Dios en hebreo | Reescribir mensaje informal | Análisis y comparación estrategia; modelo=gpt-5-1-thinking; gpt-5-2-thinking; gpt-5-1,,182,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-p-6888430c222c81918b26bd68eec79392,No disponible en archivo,No disponible en archivo,Evidencia de uso: Redacción mensaje headhunter | Trabajo ejecutivo asistente | Job follow-up message | Correo seguimiento entrevista | Correo seguimiento vacante...,Ausente,"marketing, diseño, educación","escritura, análisis",asistente,estudiantes,bajo,2.83,2.6,3,3.2,3.62,1.2,2.8,2.759,39,2025-10-11T04:44:45.348256+00:00,gpt-5-thinking; o3; research,conversations.json: gizmo_id=g-p-6888430c222c81918b26bd68eec79392; títulos=Redacción mensaje headhunter | Trabajo ejecutivo asistente | Job follow-up message | Correo seguimiento entrevista | Correo seguimiento vacante; modelo=gpt-5-thinking; o3; research,,144,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-690e323d2e0481918ac7fd39cb2c3973,No disponible en archivo,No disponible en archivo,Evidencia de uso: Operación Lex 3.2 | Análisis y comparación de prompts | Versiones del canvas | Estructura para mudanza perros | Diseño Agent entrenamiento canino...,Ausente,"salud/bienestar, marketing, diseño","análisis, agente/automatización, escritura",agente,profesionales,alto,2.59,3.2,3.8,3.6,4.65,3.4,1.6,1.909,26,2025-12-12T16:53:34.675687+00:00,gpt-5-1-thinking; gpt-5-thinking,conversations.json: gizmo_id=g-690e323d2e0481918ac7fd39cb2c3973; títulos=Operación Lex 3.2 | Análisis y comparación de prompts | Versiones del canvas | Estructura para mudanza perros | Diseño Agent entrenamiento canino; modelo=gpt-5-1-thinking; gpt-5-thinking,No recomendado (riesgo alto sin mitigaciones detectables); Tema sensible (YMYL) sin disclaimers detectables en el archivo,128,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-694388b818688191ace858a682b6ed0b,No disponible en archivo,No disponible en archivo,Evidencia de uso: Análisis de Prompts GPT | Contrato de arrendamiento | Generación de captions y copy | Actualización de COPY Finanz Butik | NEXUS v1.1.1 detalles...,Ausente,"investigación, marketing, legal","análisis, escritura, generación",asistente,profesionales,alto,2.57,3.2,3.8,3.6,4.95,3.4,1.6,1.924,25,2025-12-30T06:51:45.955753+00:00,gpt-5-2-thinking; gpt-5-2,conversations.json: gizmo_id=g-694388b818688191ace858a682b6ed0b; títulos=Análisis de Prompts GPT | Contrato de arrendamiento | Generación de captions y copy | Actualización de COPY Finanz Butik | NEXUS v1.1.1 detalles; modelo=gpt-5-2-thinking; gpt-5-2,No recomendado (riesgo alto sin mitigaciones detectables); Tema sensible (YMYL) sin disclaimers detectables en el archivo,102,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-p-691f9a86de688191814b3b2b2c27dfe2,No disponible en archivo,No disponible en archivo,Evidencia de uso: Explicar MOFs claramente | Explicar los MOFs claramente | Qué puedo hacer por ti | Redacción de correo | Modelos argumentativos comparados...,Ausente,"educación, investigación, negocios","análisis, escritura, tutoría",asistente,estudiantes,bajo,2.52,3.6,3.4,3.2,4.42,2.2,4,3.241,23,2025-11-28T05:59:39.315709+00:00,gpt-5-1-thinking; gpt-5-instant,conversations.json: gizmo_id=g-p-691f9a86de688191814b3b2b2c27dfe2; títulos=Explicar MOFs claramente | Explicar los MOFs claramente | Qué puedo hacer por ti | Redacción de correo | Modelos argumentativos comparados; modelo=gpt-5-1-thinking; gpt-5-instant,,234,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-69409a5f99c481919e8b1d39f9597b2e,No disponible en archivo,No disponible en archivo,Evidencia de uso: Prompt para Copy Impactante | Resumen de fusión GPT | Control financiero de pareja | Evaluación de system prompt | Diseño de Workflows GPT...,Ausente,"investigación, diseño, marketing","análisis, consulta/búsqueda, escritura",asistente,profesionales,bajo,2.46,4.2,4.2,3.6,4.97,4.4,4.6,3.843,21,2025-12-31T20:44:11.568243+00:00,gpt-5-2-thinking; gpt-5-2,conversations.json: gizmo_id=g-69409a5f99c481919e8b1d39f9597b2e; títulos=Prompt para Copy Impactante | Resumen de fusión GPT | Control financiero de pareja | Evaluación de system prompt | Diseño de Workflows GPT; modelo=gpt-5-2-thinking; gpt-5-2,,152,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-p-68edb7e617a881918d114fa29622ad34,No disponible en archivo,No disponible en archivo,Evidencia de uso: New chat | Mejora de prompt SEO | Estrategia SEO senior | Análisis SEO alto nivel | Case study iCowhide growth...,Ausente,"marketing, negocios, diseño","planificación, análisis, creatividad",copiloto,profesionales,bajo,2.46,2.6,3,3.2,3.72,1.2,2.8,2.678,21,2025-10-17T04:54:08.481589+00:00,gpt-5-thinking; agent-mode,conversations.json: gizmo_id=g-p-68edb7e617a881918d114fa29622ad34; títulos=New chat | Mejora de prompt SEO | Estrategia SEO senior | Análisis SEO alto nivel | Case study iCowhide growth; modelo=gpt-5-thinking; agent-mode,,89,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-691cea7d754c8191b2d5fd1b7a301037,No disponible en archivo,No disponible en archivo,Evidencia de uso: Scan job description | CV adaptado a Copywriter | CV Adaptación Copywriter | SEO Manager Job Summary | Arcadion SEO Specialist prep...,Ausente,"marketing, programación, diseño","escritura, código, generación",asistente,técnicos,bajo,2.44,2.6,3,3.2,4.28,1.2,2.8,2.727,20,2025-11-20T22:40:24.069429+00:00,gpt-5-1-thinking; gpt-5-instant,conversations.json: gizmo_id=g-691cea7d754c8191b2d5fd1b7a301037; títulos=Scan job description | CV adaptado a Copywriter | CV Adaptación Copywriter | SEO Manager Job Summary | Arcadion SEO Specialist prep; modelo=gpt-5-1-thinking; gpt-5-instant,,313,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-6903b3c083fc819195e97fc8962fd618,No disponible en archivo,No disponible en archivo,Evidencia de uso: Diseño GPT comparativo papers | Auditoría StylSmith GPT | Qué puede hacer asistente | Ensamblador de Prompts | Diseño de GPT para L’Oréal...,Ausente,"diseño, marketing, investigación","agente/automatización, escritura, análisis",agente,profesionales,bajo,2.44,4.2,4.2,3.6,4.97,4.4,4.6,3.836,20,2025-12-31T16:29:13.754814+00:00,gpt-5-thinking; gpt-5,conversations.json: gizmo_id=g-6903b3c083fc819195e97fc8962fd618; títulos=Diseño GPT comparativo papers | Auditoría StylSmith GPT | Qué puede hacer asistente | Ensamblador de Prompts | Diseño de GPT para L’Oréal; modelo=gpt-5-thinking; gpt-5,,105,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-691e4a086ed48191b4ffe10a5da28128,No disponible en archivo,No disponible en archivo,Evidencia de uso: Comparación textos SO₂ | Análisis y comparación textos | Revisión de texto científico | Comparación de textos científicos | Revisión de capítulo científico...,Ausente,investigación,"análisis, generación",asistente,profesionales,bajo,2.41,2.6,3,3.2,4.28,1.2,2.8,2.72,19,2025-11-20T17:31:34.076447+00:00,gpt-5-1-thinking,conversations.json: gizmo_id=g-691e4a086ed48191b4ffe10a5da28128; títulos=Comparación textos SO₂ | Análisis y comparación textos | Revisión de texto científico | Comparación de textos científicos | Revisión de capítulo científico; modelo=gpt-5-1-thinking,,112,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-68f6c63dfb9481919d1b7c9cf3ba08c7,No disponible en archivo,No disponible en archivo,Evidencia de uso: Hot message suggestion | Refine plan and structure | Refine SEO request email | Email response generation | User manual generation...,Ausente,"diseño, marketing, programación","planificación, generación, análisis",copiloto,técnicos,bajo,2.41,2.6,3,3.2,4.42,1.2,2.8,2.733,19,2025-11-28T20:49:10.839054+00:00,gpt-5; gpt-5-thinking; gpt-5-1-thinking,conversations.json: gizmo_id=g-68f6c63dfb9481919d1b7c9cf3ba08c7; títulos=Hot message suggestion | Refine plan and structure | Refine SEO request email | Email response generation | User manual generation; modelo=gpt-5; gpt-5-thinking; gpt-5-1-thinking,,91,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-69409bb309f88191b83df36a14b23a00,No disponible en archivo,No disponible en archivo,Evidencia de uso: Outcopy para Finance Boutique | 2026 lecturas clave EE. UU. México | Análisis financiero 2025 | Recap 2025 Inversión México | Análisis patrones abusivos Renata...,Ausente,"investigación, marketing, finanzas","análisis, escritura, creatividad",asistente,profesionales,bajo,2.34,4.2,4.2,3.6,4.93,4.4,4.6,3.809,17,2025-12-29T23:58:22.473247+00:00,gpt-5-2-thinking,conversations.json: gizmo_id=g-69409bb309f88191b83df36a14b23a00; títulos=Outcopy para Finance Boutique | 2026 lecturas clave EE. UU. México | Análisis financiero 2025 | Recap 2025 Inversión México | Análisis patrones abusivos Renata; modelo=gpt-5-2-thinking,,77,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-691531f857288191947fcaddbb2b53c9,No disponible en archivo,No disponible en archivo,Evidencia de uso: SEO GEO AEO audit | New chat | Mejorar instrucciones GPT | SEO GEO AEO strategy | SEO GEO AEO Audit...,Ausente,"marketing, educación",generación,asistente,estudiantes,bajo,2.27,2.6,3,3.2,4.58,1.2,2.8,2.716,15,2025-12-08T23:12:40.690780+00:00,gpt-5-1-thinking,conversations.json: gizmo_id=g-691531f857288191947fcaddbb2b53c9; títulos=SEO GEO AEO audit | New chat | Mejorar instrucciones GPT | SEO GEO AEO strategy | SEO GEO AEO Audit; modelo=gpt-5-1-thinking,,67,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-a6Fpz8NRb,No disponible en archivo,No disponible en archivo,Evidencia de uso: Humanize AI text | SEO reoptimization example | Presentación profesional | Career summary and skills | Data analysis and policy writing...,Ausente,"diseño, marketing, educación",generación,asistente,estudiantes,bajo,2.23,2.6,3,3.2,3.37,1.2,2.8,2.584,14,2025-09-26T01:07:03.503472+00:00,o3; gpt-4o; gpt-5,conversations.json: gizmo_id=g-a6Fpz8NRb; títulos=Humanize AI text | SEO reoptimization example | Presentación profesional | Career summary and skills | Data analysis and policy writing; modelo=o3; gpt-4o; gpt-5,,29,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-69083f17b72c8191929b16911f071f72,No disponible en archivo,No disponible en archivo,Evidencia de uso: GPT Orcquestador búsqueda laboral | New chat | Generar reporte SEO AEO | SEO GEO content optimizer | AI persona design...,Ausente,"marketing, diseño, negocios","generación, planificación, agente/automatización",agente,profesionales,bajo,2.23,2.6,3,3.2,4.25,1.2,2.8,2.673,14,2025-11-18T20:52:05.107951+00:00,gpt-5-thinking; gpt-5-1-thinking,conversations.json: gizmo_id=g-69083f17b72c8191929b16911f071f72; títulos=GPT Orcquestador búsqueda laboral | New chat | Generar reporte SEO AEO | SEO GEO content optimizer | AI persona design; modelo=gpt-5-thinking; gpt-5-1-thinking,,224,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-p-691e4a824a908191805fb7230d21b28a,No disponible en archivo,No disponible en archivo,Evidencia de uso: Comparación de textos | Comparación textos A–E | Comparación MOFs SO₂ | Estabilidad de MOFs | Interacción SO2 con MOFs...,Ausente,investigación,"análisis, planificación",copiloto,profesionales,bajo,2.14,2.6,3,3.2,4.28,1.2,2.8,2.654,12,2025-11-20T17:08:32.751451+00:00,gpt-5-1-thinking,conversations.json: gizmo_id=g-p-691e4a824a908191805fb7230d21b28a; títulos=Comparación de textos | Comparación textos A–E | Comparación MOFs SO₂ | Estabilidad de MOFs | Interacción SO2 con MOFs; modelo=gpt-5-1-thinking,,76,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-68ee93849af0819188ba7edb60900a73,No disponible en archivo,No disponible en archivo,Evidencia de uso: Carta presentación SEO | Carta de presentación SEO | Campaign content answer | Redacción cover letter Project Manager | Redactar cover letter Project Manager...,Ausente,"marketing, diseño","escritura, análisis",asistente,profesionales,bajo,2.14,2.6,3,3.2,3.88,1.2,2.8,2.614,12,2025-10-27T21:36:42.645786+00:00,gpt-5; gpt-5-thinking,conversations.json: gizmo_id=g-68ee93849af0819188ba7edb60900a73; títulos=Carta presentación SEO | Carta de presentación SEO | Campaign content answer | Redacción cover letter Project Manager | Redactar cover letter Project Manager; modelo=gpt-5; gpt-5-thinking,,75,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-p-69291dc683208191b770f349205566bc,No disponible en archivo,No disponible en archivo,Evidencia de uso: Revisión de copy IG | Instrucciones personalizadas chatGPT | Resumen de contenido rodeo | Aplica Toulmin | Generar GPT investigador empresas...,Ausente,"educación, marketing, negocios","análisis, escritura, consulta/búsqueda",asistente,estudiantes,bajo,2.14,2.6,3,3.2,4.63,1.2,2.8,2.689,12,2025-12-11T22:07:16.586562+00:00,gpt-5-1-thinking,conversations.json: gizmo_id=g-p-69291dc683208191b770f349205566bc; títulos=Revisión de copy IG | Instrucciones personalizadas chatGPT | Resumen de contenido rodeo | Aplica Toulmin | Generar GPT investigador empresas; modelo=gpt-5-1-thinking,,58,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
